Date,Open,High,Low,Close,Volume,WeekOfYear,WeekOfYear_sin,WeekOfYear_cos,DayOfWeek,DayOfWeek_sin,DayOfWeek_cos,RSI_14,Open_logret,High_logret,Low_logret,Close_logret
2004-08-19,2.502502918243408,2.6041040420532227,2.4014010429382324,2.5110108852386475,893181924,34,-0.6965510290629969,-0.7175072570443312,3,0.43388373911755823,-0.900968867902419,,,,,
2004-08-20,2.527777910232544,2.7297298908233643,2.515014886856079,2.7104599475860596,456686856,34,-0.6965510290629969,-0.7175072570443312,4,-0.433883739117558,-0.9009688679024191,,0.010049222122635704,0.04711398495783958,0.046226387842614236,0.07643292765946264
2004-08-23,2.771522045135498,2.8398399353027344,2.7289791107177734,2.7377378940582275,365122512,35,-0.7765238627180425,-0.6300878435817109,0,0.0,1.0,,0.09205602361098975,0.0395450265643551,0.08164886438005414,0.010013650459063661
2004-08-24,2.7837839126586914,2.792793035507202,2.59184193611145,2.6243739128112793,304946748,35,-0.7765238627180425,-0.6300878435817109,1,0.7818314824680298,0.6234898018587336,,0.004414477808863726,-0.016705506701616635,-0.05155879194920632,-0.042289635115474566
2004-08-25,2.626626968383789,2.7027029991149902,2.599600076675415,2.6526529788970947,183772044,35,-0.7765238627180425,-0.6300878435817109,2,0.9749279121818236,-0.22252093395631434,,-0.05811062035228398,-0.03278980005786425,0.0029888213410372844,0.010717905129237426
2004-08-26,2.626375913619995,2.701451063156128,2.6191189289093018,2.7004499435424805,141897960,35,-0.7765238627180425,-0.6300878435817109,3,0.43388373911755823,-0.900968867902419,,-9.558523748209868e-05,-0.0004633235717680373,0.007480358006983989,0.0178581415631901
2004-08-27,2.705204963684082,2.7182180881500244,2.644895076751709,2.6564059257507324,124235640,35,-0.7765238627180425,-0.6300878435817109,4,-0.433883739117558,-0.9009688679024191,,0.02957276529414321,0.006187491531171818,0.009793421458449858,-0.01644435145607004
2004-08-30,2.6346349716186523,2.63988995552063,2.5528030395507812,2.5528030395507812,103935960,36,-0.845596003501826,-0.533823377964791,0,0.0,1.0,,-0.026433039882602927,-0.029239318201281006,-0.03543940934409173,-0.039782066772345526
2004-08-31,2.5600600242614746,2.5953450202941895,2.5565569400787354,2.561811923980713,98357544,36,-0.845596003501826,-0.533823377964791,1,0.7818314824680298,0.6234898018587336,,-0.028713936508320548,-0.017017769197141264,0.0014694213045750582,0.0035228042818339356
2004-09-01,2.5700700283050537,2.576827049255371,2.49424409866333,2.508759021759033,182765052,36,-0.845596003501826,-0.533823377964791,2,0.9749279121818236,-0.22252093395631434,,0.00390244170989007,-0.007160647370307305,-0.02467569112678869,-0.02092657369716644
2004-09-02,2.482232093811035,2.561811923980713,2.47597599029541,2.540290117263794,302373324,36,-0.845596003501826,-0.533823377964791,3,0.43388373911755823,-0.900968867902419,,-0.034774953690880794,-0.005844025270767106,-0.007351059029707674,0.012490076663953298
2004-09-03,2.526276111602783,2.546046018600464,2.485485076904297,2.5027530193328857,103048848,36,-0.845596003501826,-0.533823377964791,4,-0.433883739117558,-0.9009688679024191,,0.017588132581471627,-0.0061732161017362674,0.0038331846701666894,-0.014886960180265363
2004-09-07,2.527777910232544,2.5525529384613037,2.4927430152893066,2.5420420169830322,116950932,37,-0.9027978299657435,-0.4300652022765204,1,0.7818314824680298,0.6234898018587336,,0.0005942946662119697,0.0025524358547571735,0.0029158742400071658,0.015576368012083619
2004-09-08,2.5210208892822266,2.5783278942108154,2.515014886856079,2.5600600242614746,99712188,37,-0.9027978299657435,-0.4300652022765204,2,0.9749279121818236,-0.22252093395631434,,-0.002676686179403087,0.010047075115578674,0.008895006048520226,0.0070630034588140544
2004-09-09,2.5658159255981445,2.570319890975952,2.5275280475616455,2.560309886932373,81234684,37,-0.9027978299657435,-0.4300652022765204,3,0.43388373911755823,-0.900968867902419,85.48548774452365,0.017612593407142496,-0.0031107234468136236,0.004963046047784303,9.759555478616733e-05
2004-09-10,2.5425429344177246,2.6666669845581055,2.5350348949432373,2.6358859539031982,173977848,37,-0.9027978299657435,-0.4300652022765204,4,-0.433883739117558,-0.9009688679024191,86.28418910619591,-0.009111792196862756,0.036799009862908294,0.002965633402973067,0.0290910501239241
2004-09-13,2.6684179306030273,2.712963104248047,2.6641640663146973,2.690190076828003,156882960,38,-0.9473263538541913,-0.32026985386283807,0,0.0,1.0,86.84436818959882,0.048321025947733576,0.01721206174961598,0.04968293502423027,0.02039250077582233
2004-09-14,2.688939094543457,2.8028030395507812,2.672421932220459,2.7900400161743164,216579204,38,-0.9473263538541913,-0.32026985386283807,1,0.7818314824680298,0.6234898018587336,87.82870111511139,0.007660965737500081,0.0325785680124101,0.0030948147370235546,0.036444086796961095
2004-09-15,2.7667670249938965,2.8586089611053467,2.7577579021453857,2.8028030395507812,214261524,38,-0.9473263538541913,-0.32026985386283807,2,0.9749279121818236,-0.22252093395631434,87.95278274427419,0.02853277239419627,0.01971512729305891,0.03143284332208851,0.004564063537807472
2004-09-16,2.8113110065460205,2.897897958755493,2.794044017791748,2.852102041244507,185326488,38,-0.9473263538541913,-0.32026985386283807,3,0.43388373911755823,-0.900968867902419,88.44288774620159,0.015971425346385182,0.013650503083048493,0.013072019814655,0.017436278766452373
2004-09-17,2.863363027572632,2.940190076828003,2.8415920734405518,2.940190076828003,189450360,38,-0.9473263538541913,-0.32026985386283807,4,-0.433883739117558,-0.9009688679024191,89.2819275505993,0.018345892871469482,0.01448859888391274,0.01687446923128877,0.03041795049356777
2004-09-20,2.9266769886016846,3.0430428981781006,2.9221720695495605,2.9869871139526367,212575212,39,-0.9785564922995039,-0.2059786187410985,0,0.0,1.0,89.70935456135854,0.021870828041176127,0.034383736903369266,0.02796271484736801,0.015790993938303632
2004-09-21,2.9982481002807617,3.0135140419006348,2.9406909942626953,2.948949098587036,144575280,39,-0.9785564922995039,-0.2059786187410985,1,0.7818314824680298,0.6234898018587336,86.68337989790135,0.02416050569037731,-0.009751114551266316,0.006317386608358566,-0.012816356064483392
2004-09-22,2.9379379749298096,2.9947450160980225,2.923172950744629,2.9624619483947754,151624224,39,-0.9785564922995039,-0.2059786187410985,2,0.9749279121818236,-0.22252093395631434,86.85303496943132,-0.020320185315397365,-0.006247762180271232,-0.005974932501244368,0.004571792838179656
